#https://physics.nist.gov/cgi-bin/ffast/ffast.pl?Formula=H2O&gtype=4&lower=&upper=&density=
#      E            f2            [mu/rho]           [mu/rho]      
#                              Photoelectric     Total
#     keV        e atom-1        cm2 g-1         cm2 g-1
1.366800E-02   5.586975E+00   9.846071E+05   8.469888E+05
1.387200E-02   5.787944E+00   1.016414E+06   8.285254E+05
1.396010E-02   4.905240E+00   8.207466E+05   8.207466E+05
1.492335E-02   4.758200E+00   7.447451E+05   7.447451E+05
1.595306E-02   4.623700E+00   6.769794E+05   6.769794E+05
1.705382E-02   4.500820E+00   6.164553E+05   6.164553E+05
1.823053E-02   4.388260E+00   5.622552E+05   5.622552E+05
1.948844E-02   4.284660E+00   5.135355E+05   5.135355E+05
2.083314E-02   4.188320E+00   4.695894E+05   4.695894E+05
2.227063E-02   4.097520E+00   4.297582E+05   4.297582E+05
2.322600E-02   4.252522E+00   4.321322E+05   4.069547E+05
2.358150E-02   4.314302E+00   4.337305E+05   3.986866E+05
2.367630E-02   4.331083E+00   4.342201E+05   3.964977E+05
2.380730E-02   4.136140E+00   4.058052E+05   4.058052E+05
2.381850E-02   4.137709E+00   4.058070E+05   4.055866E+05
2.417400E-02   4.189210E+00   4.060196E+05   3.987123E+05
2.545001E-02   4.084900E+00   3.749118E+05   3.749118E+05
2.720606E-02   4.041940E+00   3.470251E+05   3.470251E+05
2.908327E-02   4.001500E+00   3.213766E+05   3.213766E+05
3.109002E-02   3.957820E+00   2.973492E+05   2.973492E+05
3.323523E-02   3.907980E+00   2.746513E+05   2.746513E+05
3.552846E-02   3.850280E+00   2.531394E+05   2.531394E+05
3.797993E-02   3.783480E+00   2.326934E+05   2.326934E+05
4.060054E-02   3.706720E+00   2.132555E+05   2.132555E+05
4.340198E-02   3.619720E+00   1.948015E+05   1.948015E+05
4.639671E-02   3.522500E+00   1.773373E+05   1.773373E+05
4.959809E-02   3.415660E+00   1.608621E+05   1.608622E+05
5.302035E-02   3.300152E+00   1.453861E+05   1.453862E+05
5.667876E-02   3.177086E+00   1.309311E+05   1.309312E+05
6.058959E-02   3.047968E+00   1.175013E+05   1.175015E+05
6.477028E-02   2.914146E+00   1.050916E+05   1.050917E+05
6.923942E-02   2.777182E+00   9.368535E+04   9.368546E+04
7.401695E-02   2.638670E+00   8.327003E+04   8.327014E+04
7.912411E-02   2.499920E+00   7.379846E+04   7.379858E+04
8.458368E-02   2.362160E+00   6.523319E+04   6.523330E+04
9.041995E-02   2.226736E+00   5.752190E+04   5.752201E+04
9.665893E-02   2.094312E+00   5.061097E+04   5.061108E+04
1.033284E-01   1.965462E+00   4.443105E+04   4.443116E+04
1.104581E-01   1.840678E+00   3.892481E+04   3.892496E+04
1.180797E-01   1.720658E+00   3.403720E+04   3.403736E+04
1.262272E-01   1.605716E+00   2.971379E+04   2.971483E+04
1.349368E-01   1.492272E+00   2.583102E+04   2.583206E+04
1.442475E-01   1.367954E+00   2.215088E+04   2.215193E+04
1.542005E-01   1.252302E+00   1.896898E+04   1.897002E+04
1.648404E-01   1.145058E+00   1.622631E+04   1.622736E+04
1.762144E-01   1.046075E+00   1.386621E+04   1.386725E+04
1.883732E-01   9.548882E-01   1.184043E+04   1.184148E+04
2.013709E-01   8.710790E-01   1.010377E+04   1.010482E+04
2.152655E-01   7.942234E-01   8.617997E+03   8.618941E+03
2.301188E-01   7.238810E-01   7.347678E+03   7.348714E+03
2.459970E-01   6.595852E-01   6.262925E+03   6.264048E+03
2.629708E-01   6.009026E-01   5.337400E+03   5.338519E+03
2.811158E-01   5.474026E-01   4.548365E+03   4.549570E+03
3.005128E-01   4.986670E-01   3.875948E+03   3.877149E+03
3.212482E-01   4.543098E-01   3.303301E+03   3.304588E+03
3.434143E-01   4.139572E-01   2.815610E+03   2.816892E+03
3.671099E-01   3.772770E-01   2.400517E+03   2.401884E+03
3.924405E-01   3.439482E-01   2.047140E+03   2.048503E+03
4.195189E-01   3.136616E-01   1.746414E+03   1.747863E+03
4.484657E-01   2.858690E-01   1.488865E+03   1.490310E+03
4.794098E-01   2.584233E-01   1.259096E+03   1.260537E+03
5.124891E-01   2.334681E-01   1.064113E+03   1.065638E+03
5.213600E-01   2.275130E-01   1.019391E+03   1.020438E+03
5.293400E-01   2.223553E-01   9.814952E+02   9.821116E+02
5.314680E-01   2.210212E-01   9.716678E+02   9.721695E+02
5.346600E-01   4.108320E+00   1.794873E+04   1.794942E+04
5.426400E-01   4.037642E+00   1.738047E+04   1.738072E+04
5.478508E-01   3.992438E+00   1.702162E+04   1.702350E+04
5.856525E-01   3.692249E+00   1.472655E+04   1.472842E+04
6.260625E-01   3.398085E+00   1.267769E+04   1.267956E+04
6.692609E-01   3.103245E+00   1.083062E+04   1.083248E+04
7.154399E-01   2.819324E+00   9.204815E+03   9.206675E+03
7.648052E-01   2.552920E+00   7.796980E+03   7.798570E+03
8.175768E-01   2.307331E+00   6.591989E+03   6.593576E+03
8.739896E-01   2.083555E+00   5.568511E+03   5.570094E+03
9.342948E-01   1.875689E+00   4.689320E+03   4.690900E+03
9.987612E-01   1.683733E+00   3.937796E+03   3.939284E+03
1.067676E+00   1.501884E+00   3.285689E+03   3.287174E+03
1.141345E+00   1.338743E+00   2.739829E+03   2.741311E+03
1.220098E+00   1.192807E+00   2.283514E+03   2.284994E+03
1.304285E+00   1.062277E+00   1.902352E+03   1.903830E+03
1.394281E+00   9.456711E-01   1.584261E+03   1.585647E+03
1.490486E+00   8.415989E-01   1.318936E+03   1.320320E+03
1.593329E+00   7.487599E-01   1.097670E+03   1.098964E+03
1.703269E+00   6.659937E-01   9.133576E+02   9.146495E+02
1.820795E+00   5.922499E-01   7.597620E+02   7.610257E+02
1.946430E+00   5.265781E-01   6.319176E+02   6.331355E+02
2.080733E+00   4.681380E-01   5.255248E+02   5.267060E+02
2.224304E+00   4.139994E-01   4.347571E+02   4.358928E+02
2.377781E+00   3.651720E-01   3.587255E+02   3.598248E+02
2.541848E+00   3.221058E-01   2.959908E+02   2.970450E+02
2.717235E+00   2.841204E-01   2.442348E+02   2.452439E+02
2.904724E+00   2.506159E-01   2.015298E+02   2.025029E+02
3.105150E+00   2.199620E-01   1.654688E+02   1.663972E+02
3.319406E+00   1.921487E-01   1.352169E+02   1.361094E+02
3.548445E+00   1.678559E-01   1.104896E+02   1.113376E+02
3.793288E+00   1.466335E-01   9.029217E+01   9.110454E+01
4.055024E+00   1.280915E-01   7.378697E+01   7.455938E+01
4.334821E+00   1.118998E-01   6.029810E+01   6.103418E+01
4.633924E+00   9.775730E-02   4.927575E+01   4.997644E+01
4.953664E+00   8.540105E-02   4.026871E+01   4.093585E+01
5.295467E+00   7.460699E-02   3.290837E+01   3.354289E+01
5.660855E+00   6.517708E-02   2.689364E+01   2.749735E+01
6.051453E+00   5.694032E-02   2.197849E+01   2.255319E+01
6.469004E+00   4.974367E-02   1.796129E+01   1.850878E+01
6.915365E+00   4.345811E-02   1.467861E+01   1.519979E+01
7.392525E+00   3.796664E-02   1.199635E+01   1.249300E+01
7.902609E+00   3.316824E-02   9.803467E+00   1.027736E+01
8.447890E+00   2.897790E-02   8.012130E+00   8.464951E+00
9.030794E+00   2.527862E-02   6.538315E+00   6.971115E+00
9.653919E+00   2.193637E-02   5.307594E+00   5.721777E+00
1.032004E+01   1.899617E-02   4.299448E+00   4.696412E+00
1.103212E+01   1.641199E-02   3.474885E+00   3.855846E+00
1.179334E+01   1.417784E-02   2.808148E+00   3.174232E+00
1.260708E+01   1.224871E-02   2.269306E+00   2.621632E+00
1.347697E+01   1.058161E-02   1.833934E+00   2.173622E+00
1.440688E+01   9.141114E-03   1.482049E+00   1.810037E+00
1.540095E+01   7.896937E-03   1.197664E+00   1.514799E+00
1.646362E+01   6.822171E-03   9.678997E-01   1.275029E+00
1.759961E+01   5.893715E-03   7.822057E-01   1.080069E+00
1.881398E+01   5.091568E-03   6.321356E-01   9.214645E-01
2.011215E+01   4.398628E-03   5.108504E-01   7.922224E-01
2.149988E+01   3.799993E-03   4.128435E-01   6.868198E-01
2.298338E+01   3.282864E-03   3.336388E-01   6.007096E-01
2.456923E+01   2.836140E-03   2.696303E-01   5.302340E-01
2.626450E+01   2.450119E-03   2.179049E-01   4.724268E-01
2.807676E+01   2.108001E-03   1.753718E-01   4.241564E-01
3.001405E+01   1.811086E-03   1.409475E-01   3.842926E-01
3.208502E+01   1.556073E-03   1.132820E-01   3.514367E-01
3.429889E+01   1.336862E-03   9.104296E-02   3.242388E-01
3.666551E+01   1.148653E-03   7.317360E-02   3.015910E-01
3.919543E+01   9.868651E-04   5.881152E-02   2.826252E-01
4.189992E+01   8.478984E-04   4.726750E-02   2.665978E-01
4.479101E+01   7.284927E-04   3.799001E-02   2.529690E-01
4.788159E+01   6.259079E-04   3.053321E-02   2.412429E-01
5.118542E+01   5.377638E-04   2.454006E-02   2.310574E-01
5.471721E+01   4.620303E-04   1.972370E-02   2.221239E-01
5.849270E+01   3.969673E-04   1.585232E-02   2.141928E-01
6.252870E+01   3.410747E-04   1.274118E-02   2.070719E-01
6.684318E+01   2.930426E-04   1.024019E-02   2.005970E-01
7.145536E+01   2.517807E-04   8.230337E-03   1.946516E-01
7.638578E+01   2.163292E-04   6.614997E-03   1.891323E-01
8.165640E+01   1.858078E-04   5.315035E-03   1.839627E-01
8.729069E+01   1.594867E-04   4.267747E-03   1.790884E-01
9.331374E+01   1.368957E-04   3.426773E-03   1.744327E-01
9.975239E+01   1.175049E-04   2.751525E-03   1.699901E-01
1.066353E+02   1.008642E-04   2.209320E-03   1.657063E-01
1.139931E+02   8.657460E-05   1.773957E-03   1.615746E-01
1.218587E+02   7.431208E-05   1.424387E-03   1.575539E-01
1.302669E+02   6.378564E-05   1.143737E-03   1.536610E-01
1.392553E+02   5.475127E-05   9.183293E-04   1.498624E-01
1.488640E+02   4.699595E-05   7.374078E-04   1.461605E-01
1.591356E+02   4.033967E-05   5.921093E-04   1.425552E-01
1.701159E+02   3.462644E-05   4.754441E-04   1.390199E-01
1.818539E+02   2.972223E-05   3.817639E-04   1.355757E-01
1.944018E+02   2.551206E-05   3.065391E-04   1.322127E-01
2.078156E+02   2.189891E-05   2.461372E-04   1.289330E-01
2.221548E+02   1.879779E-05   1.976452E-04   1.257267E-01
2.374835E+02   1.613568E-05   1.587005E-04   1.226137E-01
2.538699E+02   1.384958E-05   1.274294E-04   1.195674E-01
2.713869E+02   1.188850E-05   1.023219E-04   1.166234E-01
2.901126E+02   1.020444E-05   8.216215E-05   1.137472E-01
3.101304E+02   8.759576E-06   6.597415E-05   1.109566E-01
3.315294E+02   7.519025E-06   5.297544E-05   1.082632E-01
3.544049E+02   6.454181E-06   4.253810E-05   1.056473E-01
3.788588E+02   5.540143E-06   3.415678E-05   1.031191E-01
4.050001E+02   4.755611E-06   2.742740E-05   1.006784E-01
