#name,xdet,start_file,end_file,gammastart,gammaend,integration-type,thickness
AgBeh_short,0,78948,78948,,,mean,1.0
EmptyCell,0,78955,78956,78954,78954,mean,1.0
GC_short,0,78935,78935,,,mean,1.0
Mtcell,0,79681,79695,79696,79697,mean,1.0
Mtcell,0,79715,79729,79730,79732,mean,1.0
hexane-d14_c1,0,80233,80262,80263,80265,mean,1.0
hexane-h14_c0,0,81443,81472,81473,81475,mean,1.0
hexane-h14_c0,0,79649,79678,79679,79680,mean,1.0
hexane_c5,0,80266,80295,80296,80298,mean,1.0
hexane_c4,0,80301,80330,80331,80333,mean,1.0
hexane_c4,0,80697,80726,80727,80729,mean,1.0
hexane_c3,0,80334,80363,80364,80366,mean,1.0
hexane_c2,0,80400,80429,80430,80432,mean,1.0
toluol_cT1,0,80763,80792,80793,80795,mean,1.0
Cd-0-359_c0,0,80200,80229,80230,80232,mean,1.0
Cd-0-359_c5,0,80367,80396,80397,80399,mean,1.0
Cd-0-359_c4,0,80433,80462,80463,80465,mean,1.0
Cd-0-359_c3,0,80499,80528,80529,80531,mean,1.0
Cd-0-359_c2,0,80565,80594,80595,80597,mean,1.0
Cd-0-359_cT1,0,80631,80660,80661,80663,mean,1.0
Cd-0-286_c0,0,80466,80495,80496,80498,mean,1.0
Cd-0-286_c5,0,80532,80561,80562,80564,mean,1.0
Cd-0-286_c4,0,80598,80627,80628,80630,mean,1.0
Cd-0-286_c3,0,80664,80693,80694,80696,mean,1.0
Cd-0-286_c2,0,80730,80759,80760,80762,mean,1.0
Cd-0-286_cT1,0,80796,80825,80826,80828,mean,1.0
Cd-0-384_c0,0,81476,81505,81506,81508,mean,1.0
Cd-0-384_c5,0,81542,81571,81572,81574,mean,1.0
Cd-0-384_c4,0,81608,81636,81638,81640,mean,1.0
Cd-0-384_c3,0,81674,81703,81704,81706,mean,1.0
Cd-0-384_c2,0,81740,81769,81770,81772,mean,1.0
Cd-0-384_cT1,0,81806,81835,81836,81838,mean,1.0
Cd-0-391_c0,0,81509,81538,81539,81541,mean,1.0
Cd-0-391_c5,0,81575,81604,81605,81607,mean,1.0
Cd-0-391_c4,0,81641,81670,81671,81673,mean,1.0
Cd-0-391_c3,0,81707,81736,81737,81739,mean,1.0
Cd-0-391_c2,0,81773,81802,81803,81805,mean,1.0
Cd-0-391_cT1,0,81838,81868,81869,81870,mean,1.0
AgBeh,0,80839,80843,80844,80845,mean,1.0
GC,0,80846,80850,80851,80852,mean,1.0
Mtcell,0,81871,81900,81901,81903,mean,1.0
Mtcell,0,80829,80835,80836,80838,mean,1.0
